customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,Joseph,Swanson,nmercado@example.org,648-970-3606,2025-11-07,Sarahshire,Iowa,Hungary,26-35
CUST0002,Robert,Jacobs,danielvelez@example.net,204-763-0740x042,2025-11-15,West Teresa,Missouri,Nigeria,18-25
CUST0003,John,Deleon,larrygray@example.com,690-696-0446,2025-07-24,Jeffreyton,Missouri,Austria,46-60
CUST0004,Jonathan,Ryan,murphymary@example.net,463.837.4077,2025-05-25,North Alexandra,Connecticut,Guadeloupe,36-45
CUST0005,Robert,Brooks,baileychristopher@example.org,901.746.1966x59685,2025-11-11,Richardschester,Florida,Kazakhstan,46-60
CUST0006,Susan,Becker,katherine03@example.com,(813)241-8212x24487,2025-07-10,Lake Nicolebury,Maryland,South Africa,36-45
CUST0007,Veronica,Watts,jane57@example.org,505-785-4084x0896,2025-10-03,Bowmanberg,Vermont,Malawi,18-25
CUST0008,Patrick,Brown,kevinwatts@example.net,641.934.9957x3496,2025-02-15,Kochside,Massachusetts,Seychelles,36-45
CUST0009,John,Miller,lcantrell@example.org,001-382-676-5097x6575,2025-08-25,Port Joe,Alabama,Sweden,18-25
CUST0010,Michael,Mack,warrenbradley@example.com,970.863.3903,2025-08-23,Lake Robertberg,Massachusetts,Afghanistan,36-45
CUST0011,Allison,Duffy,thomas05@example.net,509.911.7061x94723,2024-10-12,East Michael,Kentucky,Andorra,46-60
CUST0012,Brandon,Erickson,jennifer46@example.com,2239288014,2025-04-29,West Nicholasberg,West Virginia,Guam,18-25
CUST0013,Jessica,Schneider,vincentjonathan@example.com,(789)313-6042x0566,2024-03-03,East Rebeccaborough,Hawaii,South Georgia and the South Sandwich Islands,46-60
CUST0014,James,Garcia,hclark@example.com,+1-516-482-1186,2024-04-04,Emilyborough,Ohio,Niger,60+
CUST0015,Amanda,Anderson,velezalexis@example.com,640-239-1047,2025-04-06,Lake Williamhaven,Maryland,Eritrea,46-60
CUST0016,Daniel,Lopez,juliesmith@example.org,001-767-881-9206x26806,2024-01-02,New Conniefort,Idaho,Timor-Leste,18-25
CUST0017,Douglas,Haynes,twillis@example.org,(479)588-6397x7207,2024-03-22,East Jamesview,Georgia,Benin,26-35
CUST0018,Bobby,Cantrell,ypatterson@example.com,001-440-555-9827x3447,2024-05-03,South Brendamouth,Indiana,Senegal,36-45
CUST0019,Kyle,Chapman,michelle49@example.org,+1-217-667-5794x102,2024-01-21,Jamesview,South Carolina,Uzbekistan,26-35
CUST0020,Ashley,Scott,hsanchez@example.org,438.467.5944x9897,2024-07-21,New Brian,North Dakota,Bulgaria,18-25
CUST0021,Maria,Vang,jodilane@example.net,(788)260-8881x349,2024-07-05,Ronaldport,Texas,New Caledonia,46-60
CUST0022,Rhonda,Dixon,laura76@example.net,001-878-249-0080x80743,2024-08-29,Mitchellmouth,New Jersey,Moldova,60+
CUST0023,Todd,George,anthonynichols@example.org,(474)445-1465x75613,2024-02-11,Averyton,Virginia,British Virgin Islands,26-35
CUST0024,Jeffrey,Bates,emilyreed@example.net,821.637.2462x850,2024-09-26,Kiarafort,Kansas,Iraq,18-25
CUST0025,Julia,Hobbs,karen33@example.org,(629)522-5829x61556,2025-01-01,North Monicamouth,Maryland,Uruguay,36-45
CUST0026,Brent,Martin,ymueller@example.net,8949428915,2024-04-19,Port Rebecca,Tennessee,Heard Island and McDonald Islands,46-60
CUST0027,Troy,Austin,gordongregory@example.com,273.342.4416x26229,2025-07-17,South Carlos,Michigan,Senegal,26-35
CUST0028,Richard,Guerrero,bryanbobby@example.net,219.911.5470x50292,2025-02-26,Ashleystad,Ohio,Antigua and Barbuda,60+
